cue_score,numeric_score,sentence_length_score,sentence_pos,upper_case_score,heading_match_score,word_frequency,proper_noun,keys,label
0,0,0.8,1,1,0.87,0.484,0.364,"Success from two leading coronavirus vaccine programs likely means other frontrunners will also show strong protection against COVID-19, Bill Gates said Tuesday.",1
0,0,-2.25,0.5,1,1,1,1,"The fact that two coronavirus vaccines recently showed strong protection against COVID-19 bodes well for other leading programs led by AstraZeneca, Novavax, and Johnson & Johnson, Bill Gates said Tuesday.The billionaire Microsoft founder and philanthropist said it will be easier to boost manufacturing and distribute these other shots to the entire world, particularly developing nations.The vaccine space has seen a flurry of good news in recent days, marked by overwhelming success in late-stage trials by both Pfizer and Moderna.",1
0,0,1,0.333,0,0.304,0.189,0,The studies showed both vaccines provided strong protection against the virus compared to a placebo.,0
1,0,-0.1,0.25,0,0.478,0.755,0.909,"""With the very good news from Pfizer and Moderna, we think it's now likely that AstraZeneca, Novavax, and Johnson & Johnson will also likely show very strong efficacy,"" Gates told journalist Andrew Ross Sorkin.",1
0,0,1,0.2,0,0.13,0.238,0.091,"While Gates didn't delve into the scientific rationale behind that prediction, many scientists hold the same hope.",0
0,0,1,0.2,0,0.174,0.158,0,All the leading vaccine candidates target the same part of the coronavirus in the spike protein.,0
0,0,0.6,0.25,0,0.13,0.305,0,"Early-stage clinical trials showed all the shots elicited varying levels of neutralizing antibodies, virus-fighting proteins that play a critical role in the body's immune response.",0
0,0,0.35,0.333,0,0.13,0.191,0,But the only way to know if that translates to protection is by running late-stage trials that enroll tens of thousands for volunteers who receive either the experimental shot or placebo injections.,0
0,0,1,0.5,1,0.261,0.212,0,The scientific success has turned the top challenges surrounding a COVID-19 vaccine to the manufacturing and distribution front.,0
0,1,0.85,1,0,0.217,0.263,0,"Gates noted that the world will be supply constrained for 2021, but these additional vaccines will prove valuable on that front.",0
0,0,1,1,0.333,1,0.497,0.5,World Health Assembly charts course for COVID-19 response and global health priorities.,1
0,0,0.6,0.5,0.667,0.455,0.904,0.625,"As health leaders prepare to gather for a virtual session of the resumed 73rd World Health Assembly (WHA), WHO has three messages to share.",1
0,0,1,0.333,0.333,0.182,0.479,0,"First, we can beat COVID-19 with science, solutions and solidarity.",1
1,1,0.8,0.25,0.667,0.182,0.545,0.125,"More than 47 million COVID-19 cases have now been reported to WHO, and more than 1.2 million people have lost their lives.",0
0,0,0.8,0.2,0,0.182,0.471,0,"Although this is a global crisis, many countries and cities have successfully prevented or controlled transmission with a comprehensive, evidence-based approach.",1
0,0,-0.05,0.167,0,0.273,0.545,0,"For the first time, the world has rallied behind a plan to accelerate the development of the vaccines, diagnostics and therapeutics we need, and to ensure they are available to all countries on the basis of equity.",0
0,0,1,0.143,0.667,0.182,0.504,0.625,The Access to COVID-19 Tools (ACT) Accelerator is delivering real results.,0
1,0,1,0.125,0,0.182,0.516,0.125,"Second, we must not backslide on our critical health goals.",1
0,0,1,0.125,0.333,0.273,0.549,0.125,"The COVID-19 pandemic is a sobering reminder that health is the foundation of social, economic and political stability.",0
0,0,0.45,0.143,0.333,0.091,0.569,0.125,"It reminds us why WHO’s ‘triple billion’ targets are so important, and why countries must pursue them with even more determination, collaboration and innovation.",0
0,1,-0.35,0.167,0,0.091,0.762,0.875,"Since May, Member States have adopted a number of decisions – the Immunization Agenda 2030, the Decade of Healthy Ageing 2020-2030, as well as initiatives to tackle cervical cancer, tuberculosis, eye care, food safety, intellectual property and influenza preparedness.",1
0,1,-0.8,0.2,0.333,0.364,0.894,1,"The resumed session will discuss a 10-year-plan for addressing neglected tropical diseases, as well as efforts to address meningitis, epilepsy and other neurological disorders, maternal infant and young child nutrition, digital health, and the WHO Global Code of Practice on the International Recruitment of Health Personnel, adopted in 2010.",0
1,0,1,0.25,0,0.091,0.427,0,"Third, we must prepare for the next pandemic now.",1
0,0,0.4,0.333,0,0.182,0.667,0.25,We’ve seen this past year that countries with robust health emergency preparedness infrastructure have been able to act quickly to contain and control the spread of the SARS-CoV-2 virus.,0
0,1,0.15,0.5,1,0.364,1,0.875,"The WHA will consider a draft resolution (EB146.R10) that strengthens Member States’ preparedness for health emergencies, such as COVID-19, through more robust compliance with the International Health Regulations (2005).",0
0,0,0.5,1,0.333,0.364,0.53,0.125,This resolution calls on the global health community to ensure that all countries are better equipped to detect and respond to cases of COVID-19 and other dangerous infectious diseases.,0
0,0,1,1,0.25,1,0.427,0.2,"
Ensuring Cambodia has supplies and access to COVID-19 tools.",0
0,0,0.6,0.5,0,0.286,0.688,0.3,"“As long as the virus continues to circulate anywhere, no country and no one is safe, including in Cambodia,” said Dr. Li.",1
0,0,-0.65,0.333,0.75,0.429,1,0.4,"“We must continue to detect, test, isolate and care for patients, and trace and quarantine their contacts—and to do this we must have sufficient diagnostics, PPE, and medical equipment.” Beyond procuring supplies, WHO and the UN system are also strengthening the global supply chain.",1
0,0,0.5,0.25,0.75,0.714,0.674,0.9,"The COVID-19 Supply Chain System, coordinated by WHO and the World Food Programme, was established to significantly scale up and speed the delivery of essential COVID-19 supplies.",0
0,1,0.35,0.2,0.5,0.714,0.815,0.7,"As of 13 August, 83 countries, including Cambodia, had submitted 383 requests for supplies with a total estimated value of US $163 million through the COVID-19 Supply Portal.",0
0,0,0.9,0.167,0.25,0.571,0.532,0.1,"In addition to medical, lab and PPE supplies, fair access to tools such as treatments and vaccines is vital.",0
0,0.25,0.15,0.143,1,0.857,0.833,0.8,"On 24 April, WHO launched the Access to COVID-19 Tools (ACT) Accelerator, which is a global collaboration to accelerate development, production and equitable access to COVID-19 tests, treatments and vaccines.",1
0,0,0.5,0.125,0.75,0.143,0.555,0.6,"COVAX Facility, the vaccines pillar of the ACT-Accelerator co-led by WHO, Gavi and CEPI, is speeding up the search for an effective vaccine for all countries.",0
0,0.5,0.1,0.125,0,0.286,0.588,0,"At the same time, it is supporting the building of manufacturing capabilities, and buying supply ahead of time so that 2 billion doses can be?rapidly and equitably distributed by the end of 2021.",0
0,0,0.9,0.143,0,0.143,0.342,0,Vaccines are a global public health good.,0
0,0,0.35,0.167,0.5,0.143,0.761,0.6,"When a safe and effective vaccine is available, Gavi’s COVAX Advance Market Commitment (AMC), will be used to pay for the doses allocated to developing countries.",0
0,0,0.95,0.2,0.5,0.286,0.383,0.3,Cambodia is eligible to receive COVAX AMC support.,0
0,0,-0.25,0.25,1,0.857,0.982,1,"In addition to accelerating research and ensuring manufacturing capacity for COVID-19 vaccines, WHO has supported the Royal Government of Cambodia to strengthen its regulatory capacity, draft a COVID-19 National Deployment and Vaccination Plan (NDVP) and assess immunization supply chain management.",1
0,0,0.95,0.333,0.25,0.286,0.356,0,This planning will be essential to get a successful COVID-19 vaccine to priority groups in an equitable and effective manner.,0
0,0,0.9,0.5,0.5,0.429,0.474,0.1,"WHO and partners continue to work with suppliers to secure commitments for supplies needed for COVID-19 prevention, preparedness and response.",0
0,0,1,1,0.25,0.429,0.642,0.2,This work is crucial in order to minimize the risk of COVID-19 infection and protect public health in Cambodia.,0
0,0,1,1,0.333,1,0.432,0.214,New Zealand takes early and hard action to tackle COVID-19.,1
0,1,0.15,0.5,0.333,0.375,0.648,0.214,"Three days after WHO declared the coronavirus outbreak a public health emergency of international concern on 30 January 2020, New Zealand began introducing disease prevention measures and continued strengthening them in the weeks that followed.",1
0,0,1,0.333,0,0.125,0.213,0.143,He says their strategy was influenced by a report from the WHO–China joint mission in February.,0
0,0,0.7,0.25,0,0.125,0.581,0.143,"“This report, including the observation that, ‘the key learning from China is speed – it’s all about the speed.",0
0,0,-0.5,0.2,0,0.5,0.786,0.286,"The faster you can find the cases, isolate the cases, and track their close contacts, the more successful you’re going to be,’ helped influence New Zealand’s strategy to ‘go early and go hard’,” says Dr Bloomfield.",0
0,0,0.55,0.167,0.333,0.5,0.633,0.357,"Observing the spiralling epidemic and its devastating impacts in Europe, he says the Government was “determined to minimize the impact of COVID-19” in New Zealand.",0
0,0,1,0.143,0,0.125,0.276,0.143,"From late February through March, the country progressively tightened restrictions.",0
0,0,0.75,0.125,0,0.125,0.466,0,"“It was recognized that implementing this strategy would have significant economic costs, but so would a major outbreak,” he explains.",0
0,0.5,-1.4,0.111,0.333,0.625,1,0.857,"“So New Zealand took a precautionary approach and on 26 March, apart from essential workers, the entire country was required to self-quarantine at home.” WHO Regional Director for the Western Pacific, Dr Takeshi Kasai, explains that New Zealand combined strict physical distancing with strong testing, contact tracing, clinical management of those infected, and clear and regular public communication.",1
0,0,1,0.1,0,0.125,0.213,0,The country also took steps to cushion the economic blow.,0
0,0,0.85,0.111,0,0.375,0.662,0.214,"“New Zealand certainly benefited from being a high-income, island country with an advanced health system,"" says Dr Kasai.",0
0,0,1,0.125,0,0.25,0.405,0,"""But they didn’t take anything for granted,” he adds.",0
0,0,1,0.143,0.333,0.25,0.384,0.143,“They worked concertedly to limit and stop COVID-19 on their shores and support other countries in the Region.,0
0,0.5,0.5,0.167,0,0.375,0.689,0.214,"”The Government of New Zealand called on the entire population to unite as a “team of 5 million” to protect their families, friends and neighbours.",0
0,0,-0.45,0.5,1,0.625,0.823,1,Concerned that COVID-19 could be transmitted through New Zealand to Pacific island countries – which are some of the only places still free of COVID-19 – the Ministry of Health and Ministry of Foreign Affairs and Trade worked closely with WHO to support their neighbours in the Pacific.,2
0,0,1,1,0,0.125,0.346,0,This included procuring supplies and providing training to health staff within those countries and via remote support.,0
0,0.5,0.55,0.333,0,0.375,0.689,0.214,"The Government of New Zealand called on the entire population to unite as a “team of 5 million” to protect their families, friends and neighbours.",0
0,0,1,1,0,1,0.448,0.6,Coronavirus: Inside test-and-trace - how the 'world beater' went wrong.,0
0,0,0.7,0.5,1,0.273,0.77,1,"Just half of close contacts given to England's NHS Test and Trace are being reached in some areas, a BBC investigation has found.",1
0,0,0.45,0.333,0,0.273,0.748,0.4,"Six months after Boris Johnson promised a ""world beating"" system, it can be shown the network is failing in areas with some of the worst infection rates.",0
0,0,1,0.25,0.5,0.273,0.421,0.2,The research also found no-one from NHS labs was at a key government meeting with private firms about testing.,0
0,0,1,0.2,0,0.091,0.476,0.2,"But the government said the system was ""undoubtedly"" curbing Covid spreading.",0
0,0,0.55,0.167,0.5,0.273,0.515,0.6,"It added that NHS Test and Trace was dealing with rising numbers of cases and was working hard to ""refine and improve"" the way it worked.",0
0,0,0.85,0.143,0,0.273,0.596,0,"The companies and their leaders involved with testing had ""hundreds of years"" of experience in the field, it said.",0
0,0,-0.85,0.143,0.5,0.545,1,0.4,"As ministers struggle to get test-and-trace on track, BBC News spoke to key government figures, scientists and health officials who were involved from the very start to establish what went wrong - and, crucially, whether the system can be fixed to hold the virus in check until vaccines come to the rescue.",0
0,0,0.45,0.167,0,0.182,0.453,0,The investigation found a system performing worst in the areas where it is needed the most and still struggling with the legacy of decisions that were made at the outset.,0
0,0,0.3,0.2,0.5,0.182,0.558,0.2,"Further revelations include the fact that a move to more local contact tracing by councils was being undermined by IT problems, leading to a reliance on spreadsheets and delays getting contact details.",1
0,0,1,0.25,1,0.364,0.457,0.8,The name NHS Test and Trace sounds like it is one whole service that is part of the NHS.,1
0,0,0.9,0.333,0,0.091,0.209,0,Nothing could be further from the truth.,0
0,0,0.9,0.5,0,0.091,0.411,0,"It is a complex web of different programmes, led by the civil service, that have been bolted together rapidly.",0
0,0,0.3,1,0.5,0.273,0.644,0.2,"Private firms play a key role in terms of both testing and tracing, which has meant some of the local expertise available in the NHS, universities and councils has been bypassed.",1
0,0,1,1,0.333,1,0.608,0.5,Coronavirus: How to stay cool in a face mask as hot UK weather forecast.,1
0,0,0.6,0.5,1,0.182,0.414,0.167,You don't really need the TV weather maps turning red to realise that much of the UK is going to be roasting in temperatures above 30C.,1
